real;imag
-206;-164
-180;199
208;187
-212;-183
-204;-214
-176;-181
156;-187
-171;179
-190;-169
-189;-175
171;-182
216;-211
187;154
-218;169
-215;-177
162;170
187;-187
-151;221
191;181
184;-198
129;188
175;-200
-171;190
-208;168
166;-168
174;-165
169;-186
-147;193
206;-200
169;-175
-190;205
-226;221
-120;221
-208;-206
183;187
166;-171
169;-198
171;-184
208;151
185;-190
181;177
-206;-191
150;-210
-207;-182
-219;-187
150;189
202;175
166;-182
161;183
186;-221
167;-214
215;158
-184;-194
205;-197
147;-174
165;185
196;-209
-190;195
-246;-200
-231;-180
190;-158
-147;-216
176;-157
-181;181
-213;-214
171;197
-204;180
176;178
-214;-211
170;-201
-229;194
161;188
169;-185
-216;176
215;196
168;164
-141;-168
156;-172
170;-213
173;186
214;171
169;161
143;172
-142;-182
156;-195
199;176
180;-188
167;169
184;-165
197;177
-184;-194
-202;215
-177;-160
-205;-205
174;-191
-196;-187
-155;-172
158;-191
-191;-171
-203;157
-139;166
-197;-177
168;149
-179;190
202;134
172;-220
-216;-202
213;-203
-172;163
211;-216
-161;166
-173;-212
-227;-158
-174;188
173;-228
-141;-217
213;-177
-192;235
-193;176
-140;-157
158;-156
180;-204
199;-215
-151;-168
196;177
-182;165
-213;162
-192;-135
-224;204
-191;-179
198;-158
-179;135
161;185
181;-182
-188;-193
201;180
177;162
217;-180
-164;182
196;-169
-200;157
-183;-147
175;160
-158;159
-191;-179
-210;-166
176;-177
194;164
160;-145
-173;164
-185;195
218;182
-179;195
187;185
183;-210
-155;182
128;-181
-157;187
164;-221
-174;173
228;176
-165;-164
-195;-133
-167;221
-184;190
160;-178
-205;-163
-187;179
187;-161
-219;-143
173;200
161;-241
184;197
182;193
-212;-223
-183;208
-208;-219
181;174
-209;182
-240;188
-185;-172
-223;-184
-163;-203
187;176
-147;-145
173;-196
174;-208
162;-196
238;-188
191;-187
-186;165
-184;-194
216;-217
-182;186
194;171
-147;-171
178;162
184;-165
143;199
187;207
165;161
149;-235
133;212
184;176
-193;173
-160;-173
155;-171
-191;-201
161;-195
149;-168
184;166
160;159
-173;192
-204;-174
219;226
-196;-183
216;-204
-206;226
-168;140
-203;-174
-128;241
-138;215
-171;168
-202;173
166;-199
194;152
-179;-152
-208;-164
185;192
-185;184
165;190
177;-198
-159;-196
-168;208
196;207
-219;163
-149;-195
-220;155
-184;205
220;-178
199;172
195;162
180;-174
-234;-206
-191;164
-201;193
168;197
183;166
137;-177
-164;202
-200;154
-132;-162
202;-205
-191;165
-189;174
-172;-189
-184;-156
-180;162
168;221
138;-202
145;150
157;-162
-194;176
-181;-189
-137;-178
164;-219
-191;-168
119;165
-148;157
-200;188
193;196
-256;-200
-219;181
193;-154
-218;190
173;184
-196;184
181;-202
-130;-186
139;185
166;-168
207;-172
159;197
-192;-179
-187;189
-186;-198
-199;-165
-224;151
161;-138
158;-172
170;-169
204;-172
182;168
-184;-220
196;-215
148;-170
179;205
189;136
196;-160
-177;-170
200;-164
180;173
-189;163
211;-212
-188;193
-173;195
142;183
177;198
153;201
167;226
-187;-190
-216;-197
-166;-197
168;201
184;212
183;-169
-166;179
-173;143
168;176
-212;-217
160;-195
-180;161
-173;163
-191;-200
-176;-206
164;203
-194;170
186;210
-187;158
-201;-154
-169;175
206;-150
-192;124
-178;152
-212;199
210;-163
-160;191
-162;-189
165;206
-187;207
221;184
-177;147
241;-187
-190;-194
-231;170
172;-215
184;-171
200;-122
206;-205
-168;-210
194;158
170;-204
-190;-200
-188;-140
162;-168
-179;162
157;-159
-182;174
-183;175
220;-161
-189;-201
170;-158
-184;159
175;-234
-157;-166
157;198
178;208
165;186
-190;-140
-183;-191
-196;205
182;198
169;-156
113;-167
-177;-182
-161;161
-161;-208
177;188
181;-160
193;182
-198;-201
-189;-169
201;179
182;212
-190;149
-203;195
-194;-197
197;-146
-145;-177
218;-161
-191;178
-197;-197
186;-174
-207;-179
-131;-187
-155;-233
196;183
184;-193
-199;-196
-195;201
-173;-182
214;-207
-215;-222
225;-158
-205;-190
-207;-195
209;193
204;185
208;-170
-185;196
206;-197
-172;178
210;-170
