real;imag
-135;152
-272;-167
317;-314
120;-243
-217;-131
-311;127
264;270
169;306
-223;313
202;-188
197;-164
142;-209
296;152
-233;-172
173;220
-247;147
-38;290
-162;288
178;-163
-233;207
204;131
181;-291
195;278
321;73
-240;-160
-125;-97
-78;-248
127;236
123;200
191;-72
61;-214
101;252
-162;162
-191;186
181;182
-231;-212
134;-211
153;-73
-158;146
-116;231
-217;-235
79;130
199;263
269;-207
-127;-209
204;-111
147;162
236;-217
166;-141
139;165
229;-185
164;217
-238;-200
254;-176
-218;255
-74;80
-262;158
197;130
283;-258
275;171
50;-159
-215;169
112;361
-128;153
-168;191
114;122
-119;200
143;282
-207;246
15;-326
-264;144
176;-225
202;68
-293;-88
193;-261
160;-307
-157;217
221;-251
117;107
193;-219
97;232
183;247
147;152
-189;169
170;-110
154;-123
79;-82
248;-106
170;145
84;87
-213;-214
-246;-293
-227;-181
-142;229
229;-323
-189;-199
-282;127
295;-159
-185;213
-131;-207
-219;204
128;229
-244;112
-264;170
-273;113
220;213
-290;-265
151;-226
-225;103
-130;132
194;243
-186;141
104;-151
3;-133
-227;116
-251;-205
-162;-246
95;153
222;225
195;140
168;153
-202;-322
-244;-290
156;-250
210;139
-283;-262
207;227
-239;320
-219;-126
-173;-222
-166;198
-239;249
-132;265
190;-177
-296;-195
-126;178
-244;-196
173;198
166;108
-174;228
-67;169
-169;203
-94;-327
149;131
-119;-144
-68;-205
134;171
-32;-174
-214;72
121;87
277;-182
-227;134
-111;-277
158;-307
-337;226
305;-137
-147;-310
-242;234
222;-93
160;196
176;-251
-219;-203
-308;-274
-292;150
-367;-232
-63;-185
182;103
-154;-120
40;112
-126;-65
-213;-171
-147;163
255;-243
158;-117
178;-182
149;161
128;-197
253;64
-132;178
197;89
201;268
185;251
-116;-191
100;-132
186;-295
-207;221
176;174
193;168
-218;-103
-160;138
-189;-152
-117;249
-166;-201
-296;-218
-155;262
185;-213
86;-222
193;184
-159;-156
-193;-153
251;155
-89;-239
156;-188
223;-231
166;-123
29;-147
213;-112
221;-48
-104;-135
-141;130
-213;129
175;-100
-254;139
-163;-189
120;176
51;197
208;-155
-199;-196
307;-34
-231;242
215;260
121;-242
-181;-227
-222;53
193;234
-61;-242
-286;-169
-160;-195
103;237
24;-259
-122;-247
-254;177
148;156
145;-176
-129;-111
-129;-110
156;153
178;191
-95;230
-82;-126
-168;226
184;225
-186;198
-183;206
238;-173
256;135
232;108
-238;192
-138;319
-336;-169
-133;296
-173;149
114;2
213;127
203;130
191;-278
-208;-226
-269;-228
-237;-189
-210;323
-64;-130
218;169
168;103
111;-192
-137;178
193;146
234;261
262;-84
164;-84
-149;116
194;-335
-186;203
215;210
-155;-179
152;249
-252;-151
296;230
-143;-80
-23;-143
230;-103
261;-114
181;-203
207;-205
-212;217
204;269
265;65
-16;229
-106;-115
53;216
240;232
-156;-194
129;-178
-127;-262
-136;-146
280;-181
270;168
254;-139
228;-136
-120;134
97;343
105;133
-254;56
216;199
260;151
265;-267
-123;-235
113;141
-215;75
-276;197
-263;19
270;-81
110;248
76;149
182;9
3;216
196;-88
-158;49
-88;-272
275;-102
-134;-253
291;164
218;267
-207;70
-101;-245
216;-180
-268;225
-336;58
236;-151
182;-137
244;259
110;255
273;198
-339;263
87;-167
-287;-234
-173;115
-112;150
-309;-211
-211;-219
-377;139
-75;186
209;-262
-185;255
-349;306
-109;-82
-152;155
-156;187
215;-325
-256;365
163;237
-255;2
206;175
151;57
193;-67
-180;-214
335;166
-63;-205
-228;-97
225;-155
-275;-184
-119;-302
-263;218
219;258
-259;-62
-150;191
153;149
-3;-241
-66;-358
-248;171
214;-12
-283;255
149;-107
-173;78
116;231
52;214
170;216
-66;-114
-151;-110
235;109
-286;-92
-200;93
-121;-182
-194;-269
-213;130
156;-107
138;-149
172;-186
244;-123
-329;198
277;-311
309;185
123;-230
-314;309
217;167
169;-142
-17;-13
5;-356
-207;223
-145;-135
-134;172
224;-296
-218;-94
193;40
247;-355
305;268
314;-273
-285;255
-208;223
-205;220
217;-279
-89;-83
-91;198
-59;-337
-194;174
148;-284
274;-161
-210;-235
-54;-276
-172;156
274;-231
222;246
97;341
-104;-236
268;-274
-136;153
-124;-258
-218;-132
-261;-215
-195;-82
-94;-119
342;-185
295;183
-199;-317
-188;-226
-4;183
121;160
150;247
143;144
-310;101
-211;258
-135;140
155;207
129;-100
-188;197
-259;146
-157;247
78;-128
-290;198
278;-248
155;-172
254;-247
-283;-285
204;156
221;185
196;224
164;-146
-254;142
-168;-264
-214;210
204;-184
-201;262
215;-145
364;222
202;-249
-161;-235
-209;-194
-174;194
-147;-97
207;-158
-199;-58
228;-63
-288;-127
-105;167
-64;224
-129;-161
267;-266
-124;207
182;162
210;-172
-268;-135
202;318
181;-167
-196;-182
332;-233
196;164
112;120
-179;256
284;-84
-234;136
115;119
-284;-172
-149;-318
228;-162
-160;-170
147;143
-199;187
205;-89
244;-199
135;160
256;-131
212;-150
242;-118
163;171
276;-242
219;175
262;-150
-156;-241
-74;214
69;-211
-241;-210
-177;-43
279;-191
-271;180
-234;-355
-183;-240
315;197
-107;-355
105;-198
164;220
-273;199
108;277
83;-172
201;109
333;311
-260;-284
157;183
-188;249
-97;146
203;122
114;-76
-175;182
-181;-208
-167;172
-183;231
-233;174
201;252
-122;-124
66;152
145;-220
49;149
206;269
258;193
-190;273
192;-160
-132;266
234;-293
224;-197
-190;-256
168;334
-81;242
290;-169
-203;165
-146;114
146;-180
219;168
177;-164
136;-171
88;140
-164;214
-167;176
-256;-114
-82;40
137;-203
-203;-157
127;138
241;-146
-335;292
164;-186
166;185
312;154
239;-134
118;101
-241;-262
-113;-231
-238;-195
161;148
-317;-191
-244;193
-216;-136
-167;-231
-116;-248
-127;163
130;-238
-200;252
-286;462
-219;-125
326;185
-89;270
295;317
-179;-200
-244;114
-269;-156
12;-221
182;202
-226;193
250;128
-85;268
-91;-234
-180;148
244;-173
-228;-159
-108;-114
126;-249
222;227
-160;-272
227;161
-201;-175
206;184
-181;208
-304;173
204;-175
118;-197
-154;148
155;-185
-126;223
-99;-155
-200;98
144;212
88;-116
169;-39
-131;-55
209;163
-160;323
136;10
226;144
-106;282
170;160
122;-266
82;-168
130;149
-153;-232
213;161
-256;269
259;-231
-280;316
110;-92
-268;-140
160;234
197;136
-158;188
364;-26
107;-219
163;-331
122;232
306;290
-373;-251
352;-287
-126;-252
-287;-263
300;180
184;-207
-76;-209
192;-245
191;204
-262;175
-125;154
-159;237
-154;154
-83;-172
-63;247
-177;-181
-186;245
-217;-180
117;-137
-166;-180
145;-62
-265;165
-261;181
-123;-151
-13;-51
295;194
52;102
-106;-100
148;-165
63;-184
-143;-72
-197;-128
217;-162
-103;-182
80;254
175;-92
-53;-82
-136;115
251;68
236;130
268;101
-199;321
65;190
248;150
-218;-112
