real;imag
-8;14
-9;-13
5;-5
7;-9
-10;-9
-6;9
5;9
7;9
-10;7
10;-12
7;-6
13;1
-1;15
0;-14
7;9
-13;1
-12;4
-13;0
16;-10
-11;8
20;9
14;-10
11;11
14;9
-8;-15
-10;-15
-10;-8
10;8
3;3
7;-6
9;-9
13;9
-15;8
-7;9
6;12
-11;-9
8;-7
5;-10
-6;6
-10;7
-4;-4
9;1
9;12
9;-11
-4;-11
7;-10
2;6
13;-7
6;-3
6;13
10;-5
3;8
-2;-11
8;-4
-14;4
-9;3
-12;5
5;11
9;-10
5;14
10;-2
-12;4
1;13
-11;6
-9;8
10;4
-14;9
9;13
-12;10
11;-11
-9;5
8;-3
3;8
-11;-17
12;-15
4;-8
-15;9
6;-11
14;13
18;-15
4;2
8;6
9;5
-10;9
7;-12
11;-8
10;-3
6;-6
7;11
6;12
-12;-8
-11;-10
-9;-12
-14;12
8;-10
-8;-9
-5;13
5;-7
-9;8
-9;-11
-8;4
2;12
-10;1
-11;7
-9;3
1;7
-5;-11
11;-10
-14;6
-11;2
9;10
-9;8
12;-5
-4;-13
-14;6
-6;-11
-4;-10
9;8
4;15
9;6
7;13
-9;-13
-10;-11
10;-5
7;9
-15;-10
8;14
-18;7
-6;-19
-9;-15
-13;8
-15;18
-6;9
9;-14
-11;-10
-8;9
-14;-16
12;7
10;5
-7;11
-9;8
-10;6
-11;-6
1;7
-2;-10
-7;-5
1;11
-4;-13
-5;4
5;7
12;-6
-11;14
-12;-11
7;-11
-11;9
10;-8
-6;-5
-7;7
7;-5
5;10
8;-11
-3;-9
-7;-10
-14;7
-3;-10
-9;-13
6;5
-6;-12
6;6
-12;-6
-9;-9
-17;8
10;-3
13;-9
11;-9
6;9
11;-5
11;9
-16;6
6;8
10;16
8;9
-5;-8
6;-5
5;-10
-13;7
12;13
6;14
-9;-6
-16;8
-3;-10
-8;4
-6;-12
-9;-10
-16;11
12;-10
13;-18
13;5
-9;-13
-14;-8
12;8
-14;-14
14;-8
8;-6
3;-9
4;-1
7;-3
8;-7
2;-6
-9;5
-19;9
11;-12
-8;6
-6;-13
6;9
9;9
5;-14
-9;-10
6;-6
-13;6
7;8
6;-8
-5;-10
-13;2
6;4
-4;-5
